 ,Area,Mean,X,Y,XM,YM,Slice
1,0,33848,59.590,26.138,59.590,26.138,0
2,0,27962,71.360,136.715,71.360,136.715,0
3,0,20678,32.023,226.539,32.023,226.539,0
4,0,28047,158.706,213.530,158.706,213.530,0
5,0,21109,339.594,99.856,339.594,99.856,0
6,0,11833,48.749,212.601,48.749,212.601,0
7,0,2818,44.103,191.539,44.103,191.539,0
8,0,24008,94.900,178.839,94.900,178.839,0
9,0,14546,324.417,216.937,324.417,216.937,0
10,0,20736,267.115,164.282,267.115,164.282,0
11,0,255,530.000,294.000,530.000,294.000,4
12,0,236,601.500,955.500,601.500,955.500,4
13,0,232,371.500,1489.500,371.500,1489.500,4
14,0,254,1133.500,1421.500,1133.500,1421.500,4
15,0,255,2201.500,739.500,2201.500,739.500,4
16,0,117,459.500,1407.500,459.500,1407.500,4
17,0,58,431.500,1281.500,431.500,1281.500,4
18,0,45,741.500,1213.500,741.500,1213.500,4
19,0,255,2269.500,1529.500,2269.500,1529.500,4
20,0,152,1771.500,1127.500,1771.500,1127.500,4
