 ,Area,Mean,X,Y,XM,YM
1,0,255,33.000,226.000,33,226
2,0,241,62.000,26.000,62,26
3,0,200,72.000,136.000,72,136
4,0,199,161.000,214.000,161,214
5,0,174,325.000,217.000,325,217
6,0,169,95.000,179.000,95,179
7,0,154,157.000,240.000,157,240
8,0,147,341.000,100.000,341,100
9,0,147,332.000,101.000,332,101
10,0,146,268.000,165.000,268,165
11,0,142,345.000,147.000,345,147
12,0,141,253.000,84.000,253,84
13,0,139,91.000,180.000,91,180
14,0,139,305.000,113.000,305,113
15,0,138,343.000,25.000,343,25
16,0,134,216.000,66.000,216,66
17,0,133,177.000,158.000,177,158
18,0,129,287.000,117.000,287,117
19,0,129,200.000,52.000,200,52
20,0,125,274.000,252.000,274,252
21,0,125,213.000,1.000,213,1
22,0,123,421.000,112.000,421,112
23,0,123,365.000,108.000,365,108
24,0,122,273.000,27.000,273,27
25,0,121,262.000,137.000,262,137
26,0,119,264.000,191.000,264,191
27,0,119,241.000,116.000,241,116
28,0,118,225.000,177.000,225,177
29,0,118,292.000,172.000,292,172
30,0,117,342.000,128.000,342,128
31,0,117,196.000,109.000,196,109
32,0,115,195.000,252.000,195,252
33,0,115,278.000,175.000,278,175
34,0,115,238.000,170.000,238,170
35,0,115,354.000,149.000,354,149
36,0,115,293.000,125.000,293,125
37,0,115,334.000,93.000,334,93
38,0,114,320.000,252.000,320,252
39,0,114,303.000,23.000,303,23
40,0,112,303.000,76.000,303,76
41,0,112,246.000,62.000,246,62
42,0,111,307.000,86.000,307,86
43,0,111,264.000,60.000,264,60
44,0,111,131.000,53.000,131,53
45,0,111,172.000,23.000,172,23
46,0,111,221.000,18.000,221,18
47,0,110,268.000,137.000,268,137
48,0,110,271.000,66.000,271,66
49,0,108,250.000,180.000,250,180
50,0,108,389.000,146.000,389,146
51,0,108,169.000,124.000,169,124
52,0,108,163.000,98.000,163,98
53,0,107,270.000,237.000,270,237
54,0,106,266.000,138.000,266,138
55,0,106,349.000,84.000,349,84
56,0,105,246.000,67.000,246,67
57,0,105,221.000,25.000,221,25
58,0,104,206.000,143.000,206,143
59,0,104,165.000,18.000,165,18
60,0,102,310.000,197.000,310,197
61,0,102,177.000,170.000,177,170
62,0,102,115.000,101.000,115,101
63,0,101,48.000,212.000,48,212
64,0,101,257.000,159.000,257,159
65,0,101,312.000,19.000,312,19
66,0,100,183.000,1.000,183,1
67,0,99,332.000,252.000,332,252
68,0,99,276.000,193.000,276,193
69,0,99,278.000,173.000,278,173
70,0,99,261.000,139.000,261,139
71,0,99,316.000,130.000,316,130
72,0,99,246.000,113.000,246,113
73,0,99,292.000,96.000,292,96
74,0,99,316.000,73.000,316,73
75,0,99,162.000,55.000,162,55
76,0,99,83.000,22.000,83,22
77,0,98,128.000,150.000,128,150
78,0,98,292.000,136.000,292,136
79,0,98,250.000,129.000,250,129
80,0,98,201.000,31.000,201,31
81,0,97,279.000,198.000,279,198
82,0,96,218.000,216.000,218,216
83,0,96,273.000,142.000,273,142
84,0,96,304.000,118.000,304,118
85,0,96,258.000,116.000,258,116
86,0,95,275.000,92.000,275,92
87,0,95,121.000,61.000,121,61
88,0,95,253.000,24.000,253,24
89,0,94,133.000,229.000,133,229
90,0,94,201.000,159.000,201,159
91,0,94,83.000,130.000,83,130
92,0,94,339.000,112.000,339,112
93,0,94,298.000,85.000,298,85
94,0,93,309.000,94.000,309,94
95,0,92,180.000,235.000,180,235
96,0,92,195.000,190.000,195,190
97,0,92,168.000,31.000,168,31
98,0,91,163.000,232.000,163,232
99,0,91,298.000,212.000,298,212
100,0,91,164.000,129.000,164,129
101,0,91,212.000,128.000,212,128
102,0,91,260.000,95.000,260,95
103,0,90,356.000,152.000,356,152
104,0,90,202.000,123.000,202,123
105,0,90,184.000,27.000,184,27
106,0,89,235.000,177.000,235,177
107,0,89,459.000,130.000,459,130
108,0,89,306.000,19.000,306,19
109,0,88,280.000,96.000,280,96
110,0,88,279.000,83.000,279,83
111,0,87,230.000,143.000,230,143
112,0,87,366.000,133.000,366,133
113,0,87,135.000,38.000,135,38
114,0,86,223.000,153.000,223,153
